Comunidades y Ciudades Autónomas;Periodo;Total
Total;2018M12;37033
Total;2018M11;34338
Total;2018M10;32879
Total;2018M09;30293
Total;2018M08;33177
Total;2018M07;32215
Total;2018M06;3197
Total;2018M05;33421
Total;2018M04;34956
Total;2018M03;39772
Total;2018M02;39756
Total;2018M01;47911
Total;2017M12;41665
Total;2017M11;34149
Total;2017M10;3268
Total;2017M09;30049
Total;2017M08;32356
Total;2017M07;31924
Total;2017M06;32236
Total;2017M05;33673
Total;2017M04;33208
Total;2017M03;35779
Total;2017M02;37434
Total;2017M01;4937
Total;2016M12;39188
Total;2016M11;33759
Total;2016M10;3206
Total;2016M09;30095
Total;2016M08;32248
Total;2016M07;32961
Total;2016M06;31512
Total;2016M05;33001
Total;2016M04;33707
Total;2016M03;38198
Total;2016M02;35548
Total;2016M01;38334
Total;2015M12;36423
Total;2015M11;32346
Total;2015M10;31898
Total;2015M09;
Total;2015M08;
Total;2015M07;
Total;2015M06;
Total;2015M05;
Total;2015M04;
Total;2015M03;
Total;2015M02;
Total;2015M01;
Total;2014M12;
Total;2014M11;
Total;2014M10;
Total;2014M09;
Total;2014M08;
Total;2014M07;
Total;2014M06;
Total;2014M05;
Total;2014M04;
Total;2014M03;
Total;2014M02;
Total;2014M01;
Total;2013M12;
Total;2013M11;
Total;2013M10;
Total;2013M09;
Total;2013M08;
Total;2013M07;
Total;2013M06;
Total;2013M05;
Total;2013M04;
Total;2013M03;
Total;2013M02;
Total;2013M01;
Total;2012M12;
Total;2012M11;
Total;2012M10;
Total;2012M09;
Total;2012M08;
Total;2012M07;
Total;2012M06;
Total;2012M05;
Total;2012M04;
Total;2012M03;
Total;2012M02;
Total;2012M01;
Total;2011M12;
Total;2011M11;
Total;2011M10;
Total;2011M09;
Total;2011M08;
Total;2011M07;
Total;2011M06;
Total;2011M05;
Total;2011M04;
Total;2011M03;
Total;2011M02;
Total;2011M01;
Total;2010M12;
Total;2010M11;
Total;2010M10;
Total;2010M09;
Total;2010M08;
Total;2010M07;
Total;2010M06;
Total;2010M05;
Total;2010M04;
Total;2010M03;
Total;2010M02;
Total;2010M01;
Total;2009M12;
Total;2009M11;
Total;2009M10;
Total;2009M09;
Total;2009M08;
Total;2009M07;
Total;2009M06;
Total;2009M05;
Total;2009M04;
Total;2009M03;
Total;2009M02;
Total;2009M01;
Total;2008M12;
Total;2008M11;
Total;2008M10;
Total;2008M09;
Total;2008M08;
Total;2008M07;
Total;2008M06;
Total;2008M05;
Total;2008M04;
Total;2008M03;
Total;2008M02;
Total;2008M01;
Total;2007M12;
Total;2007M11;
Total;2007M10;
Total;2007M09;
Total;2007M08;
Total;2007M07;
Total;2007M06;
Total;2007M05;
Total;2007M04;
Total;2007M03;
Total;2007M02;
Total;2007M01;
Total;2006M12;
Total;2006M11;
Total;2006M10;
Total;2006M09;
Total;2006M08;
Total;2006M07;
Total;2006M06;
Total;2006M05;
Total;2006M04;
Total;2006M03;
Total;2006M02;
Total;2006M01;
Total;2005M12;
Total;2005M11;
Total;2005M10;
Total;2005M09;
Total;2005M08;
Total;2005M07;
Total;2005M06;
Total;2005M05;
Total;2005M04;
Total;2005M03;
Total;2005M02;
Total;2005M01;
Total;2004M12;
Total;2004M11;
Total;2004M10;
Total;2004M09;
Total;2004M08;
Total;2004M07;
Total;2004M06;
Total;2004M05;
Total;2004M04;
Total;2004M03;
Total;2004M02;
Total;2004M01;
Total;2003M12;
Total;2003M11;
Total;2003M10;
Total;2003M09;
Total;2003M08;
Total;2003M07;
Total;2003M06;
Total;2003M05;
Total;2003M04;
Total;2003M03;
Total;2003M02;
Total;2003M01;
Total;2002M12;
Total;2002M11;
Total;2002M10;
Total;2002M09;
Total;2002M08;
Total;2002M07;
Total;2002M06;
Total;2002M05;
Total;2002M04;
Total;2002M03;
Total;2002M02;
Total;2002M01;
Total;2001M12;
Total;2001M11;
Total;2001M10;
Total;2001M09;
Total;2001M08;
Total;2001M07;
Total;2001M06;
Total;2001M05;
Total;2001M04;
Total;2001M03;
Total;2001M02;
Total;2001M01;
Total;2000M12;
Total;2000M11;
Total;2000M10;
Total;2000M09;
Total;2000M08;
Total;2000M07;
Total;2000M06;
Total;2000M05;
Total;2000M04;
Total;2000M03;
Total;2000M02;
Total;2000M01;
Total;1999M12;
Total;1999M11;
Total;1999M10;
Total;1999M09;
Total;1999M08;
Total;1999M07;
Total;1999M06;
Total;1999M05;
Total;1999M04;
Total;1999M03;
Total;1999M02;
Total;1999M01;
Total;1998M12;
Total;1998M11;
Total;1998M10;
Total;1998M09;
Total;1998M08;
Total;1998M07;
Total;1998M06;
Total;1998M05;
Total;1998M04;
Total;1998M03;
Total;1998M02;
Total;1998M01;
Total;1997M12;
Total;1997M11;
Total;1997M10;
Total;1997M09;
Total;1997M08;
Total;1997M07;
Total;1997M06;
Total;1997M05;
Total;1997M04;
Total;1997M03;
Total;1997M02;
Total;1997M01;
Total;1996M12;
Total;1996M11;
Total;1996M10;
Total;1996M09;
Total;1996M08;
Total;1996M07;
Total;1996M06;
Total;1996M05;
Total;1996M04;
Total;1996M03;
Total;1996M02;
Total;1996M01;
Total;1995M12;
Total;1995M11;
Total;1995M10;
Total;1995M09;
Total;1995M08;
Total;1995M07;
Total;1995M06;
Total;1995M05;
Total;1995M04;
Total;1995M03;
Total;1995M02;
Total;1995M01;
Total;1994M12;
Total;1994M11;
Total;1994M10;
Total;1994M09;
Total;1994M08;
Total;1994M07;
Total;1994M06;
Total;1994M05;
Total;1994M04;
Total;1994M03;
Total;1994M02;
Total;1994M01;
Total;1993M12;
Total;1993M11;
Total;1993M10;
Total;1993M09;
Total;1993M08;
Total;1993M07;
Total;1993M06;
Total;1993M05;
Total;1993M04;
Total;1993M03;
Total;1993M02;
Total;1993M01;
Total;1992M12;
Total;1992M11;
Total;1992M10;
Total;1992M09;
Total;1992M08;
Total;1992M07;
Total;1992M06;
Total;1992M05;
Total;1992M04;
Total;1992M03;
Total;1992M02;
Total;1992M01;
Total;1991M12;
Total;1991M11;
Total;1991M10;
Total;1991M09;
Total;1991M08;
Total;1991M07;
Total;1991M06;
Total;1991M05;
Total;1991M04;
Total;1991M03;
Total;1991M02;
Total;1991M01;
Total;1990M12;
Total;1990M11;
Total;1990M10;
Total;1990M09;
Total;1990M08;
Total;1990M07;
Total;1990M06;
Total;1990M05;
Total;1990M04;
Total;1990M03;
Total;1990M02;
Total;1990M01;
Total;1989M12;
Total;1989M11;
Total;1989M10;
Total;1989M09;
Total;1989M08;
Total;1989M07;
Total;1989M06;
Total;1989M05;
Total;1989M04;
Total;1989M03;
Total;1989M02;
Total;1989M01;
Total;1988M12;
Total;1988M11;
Total;1988M10;
Total;1988M09;
Total;1988M08;
Total;1988M07;
Total;1988M06;
Total;1988M05;
Total;1988M04;
Total;1988M03;
Total;1988M02;
Total;1988M01;
Total;1987M12;
Total;1987M11;
Total;1987M10;
Total;1987M09;
Total;1987M08;
Total;1987M07;
Total;1987M06;
Total;1987M05;
Total;1987M04;
Total;1987M03;
Total;1987M02;
Total;1987M01;
Total;1986M12;
Total;1986M11;
Total;1986M10;
Total;1986M09;
Total;1986M08;
Total;1986M07;
Total;1986M06;
Total;1986M05;
Total;1986M04;
Total;1986M03;
Total;1986M02;
Total;1986M01;
Total;1985M12;
Total;1985M11;
Total;1985M10;
Total;1985M09;
Total;1985M08;
Total;1985M07;
Total;1985M06;
Total;1985M05;
Total;1985M04;
Total;1985M03;
Total;1985M02;
Total;1985M01;
Total;1984M12;
Total;1984M11;
Total;1984M10;
Total;1984M09;
Total;1984M08;
Total;1984M07;
Total;1984M06;
Total;1984M05;
Total;1984M04;
Total;1984M03;
Total;1984M02;
Total;1984M01;
Total;1983M12;
Total;1983M11;
Total;1983M10;
Total;1983M09;
Total;1983M08;
Total;1983M07;
Total;1983M06;
Total;1983M05;
Total;1983M04;
Total;1983M03;
Total;1983M02;
Total;1983M01;
Total;1982M12;
Total;1982M11;
Total;1982M10;
Total;1982M09;
Total;1982M08;
Total;1982M07;
Total;1982M06;
Total;1982M05;
Total;1982M04;
Total;1982M03;
Total;1982M02;
Total;1982M01;
Total;1981M12;
Total;1981M11;
Total;1981M10;
Total;1981M09;
Total;1981M08;
Total;1981M07;
Total;1981M06;
Total;1981M05;
Total;1981M04;
Total;1981M03;
Total;1981M02;
Total;1981M01;
Total;1980M12;
Total;1980M11;
Total;1980M10;
Total;1980M09;
Total;1980M08;
Total;1980M07;
Total;1980M06;
Total;1980M05;
Total;1980M04;
Total;1980M03;
Total;1980M02;
Total;1980M01;
Total;1979M12;
Total;1979M11;
Total;1979M10;
Total;1979M09;
Total;1979M08;
Total;1979M07;
Total;1979M06;
Total;1979M05;
Total;1979M04;
Total;1979M03;
Total;1979M02;
Total;1979M01;
Total;1978M12;
Total;1978M11;
Total;1978M10;
Total;1978M09;
Total;1978M08;
Total;1978M07;
Total;1978M06;
Total;1978M05;
Total;1978M04;
Total;1978M03;
Total;1978M02;
Total;1978M01;
Total;1977M12;
Total;1977M11;
Total;1977M10;
Total;1977M09;
Total;1977M08;
Total;1977M07;
Total;1977M06;
Total;1977M05;
Total;1977M04;
Total;1977M03;
Total;1977M02;
Total;1977M01;
Total;1976M12;
Total;1976M11;
Total;1976M10;
Total;1976M09;
Total;1976M08;
Total;1976M07;
Total;1976M06;
Total;1976M05;
Total;1976M04;
Total;1976M03;
Total;1976M02;
Total;1976M01;
Total;1975M12;
Total;1975M11;
Total;1975M10;
Total;1975M09;
Total;1975M08;
Total;1975M07;
Total;1975M06;
Total;1975M05;
Total;1975M04;
Total;1975M03;
Total;1975M02;
Total;1975M01;
Extranjero;2018M12;186
Extranjero;2018M11;219
Extranjero;2018M10;256
Extranjero;2018M09;237
Extranjero;2018M08;223
Extranjero;2018M07;195
Extranjero;2018M06;239
Extranjero;2018M05;198
Extranjero;2018M04;184
Extranjero;2018M03;185
Extranjero;2018M02;196
Extranjero;2018M01;250
Extranjero;2017M12;199
Extranjero;2017M11;186
Extranjero;2017M10;246
Extranjero;2017M09;240
Extranjero;2017M08;198
Extranjero;2017M07;210
Extranjero;2017M06;194
Extranjero;2017M05;236
Extranjero;2017M04;166
Extranjero;2017M03;213
Extranjero;2017M02;167
Extranjero;2017M01;231
Extranjero;2016M12;165
Extranjero;2016M11;146
Extranjero;2016M10;235
Extranjero;2016M09;270
Extranjero;2016M08;220
Extranjero;2016M07;189
Extranjero;2016M06;195
Extranjero;2016M05;225
Extranjero;2016M04;184
Extranjero;2016M03;220
Extranjero;2016M02;159
Extranjero;2016M01;172
Extranjero;2015M12;161
Extranjero;2015M11;155
Extranjero;2015M10;188
Extranjero;2015M09;214
Extranjero;2015M08;154
Extranjero;2015M07;170
Extranjero;2015M06;206
Extranjero;2015M05;217
Extranjero;2015M04;152
Extranjero;2015M03;176
Extranjero;2015M02;164
Extranjero;2015M01;203
Extranjero;2014M12;161
Extranjero;2014M11;141
Extranjero;2014M10;234
Extranjero;2014M09;226
Extranjero;2014M08;191
Extranjero;2014M07;164
Extranjero;2014M06;181
Extranjero;2014M05;182
Extranjero;2014M04;163
Extranjero;2014M03;165
Extranjero;2014M02;135
Extranjero;2014M01;153
Extranjero;2013M12;118
Extranjero;2013M11;104
Extranjero;2013M10;182
Extranjero;2013M09;194
Extranjero;2013M08;155
Extranjero;2013M07;160
Extranjero;2013M06;176
Extranjero;2013M05;162
Extranjero;2013M04;134
Extranjero;2013M03;176
Extranjero;2013M02;131
Extranjero;2013M01;127
Extranjero;2012M12;114
Extranjero;2012M11;123
Extranjero;2012M10;158
Extranjero;2012M09;206
Extranjero;2012M08;155
Extranjero;2012M07;160
Extranjero;2012M06;157
Extranjero;2012M05;163
Extranjero;2012M04;160
Extranjero;2012M03;153
Extranjero;2012M02;152
Extranjero;2012M01;127
Extranjero;2011M12;128
Extranjero;2011M11;108
Extranjero;2011M10;185
Extranjero;2011M09;214
Extranjero;2011M08;175
Extranjero;2011M07;161
Extranjero;2011M06;184
Extranjero;2011M05;178
Extranjero;2011M04;161
Extranjero;2011M03;141
Extranjero;2011M02;127
Extranjero;2011M01;132
Extranjero;2010M12;138
Extranjero;2010M11;137
Extranjero;2010M10;177
Extranjero;2010M09;183
Extranjero;2010M08;182
Extranjero;2010M07;155
Extranjero;2010M06;153
Extranjero;2010M05;160
Extranjero;2010M04;128
Extranjero;2010M03;155
Extranjero;2010M02;114
Extranjero;2010M01;131
Extranjero;2009M12;102
Extranjero;2009M11;103
Extranjero;2009M10;157
Extranjero;2009M09;171
Extranjero;2009M08;153
Extranjero;2009M07;164
Extranjero;2009M06;148
Extranjero;2009M05;182
Extranjero;2009M04;137
Extranjero;2009M03;144
Extranjero;2009M02;127
Extranjero;2009M01;136
Extranjero;2008M12;143
Extranjero;2008M11;126
Extranjero;2008M10;189
Extranjero;2008M09;225
Extranjero;2008M08;217
Extranjero;2008M07;195
Extranjero;2008M06;183
Extranjero;2008M05;197
Extranjero;2008M04;147
Extranjero;2008M03;192
Extranjero;2008M02;135
Extranjero;2008M01;177
Extranjero;2007M12;141
Extranjero;2007M11;140
Extranjero;2007M10;222
Extranjero;2007M09;242
Extranjero;2007M08;177
Extranjero;2007M07;202
Extranjero;2007M06;185
Extranjero;2007M05;197
Extranjero;2007M04;165
Extranjero;2007M03;153
Extranjero;2007M02;133
Extranjero;2007M01;155
Extranjero;2006M12;133
Extranjero;2006M11;119
Extranjero;2006M10;180
Extranjero;2006M09;216
Extranjero;2006M08;197
Extranjero;2006M07;161
Extranjero;2006M06;218
Extranjero;2006M05;219
Extranjero;2006M04;159
Extranjero;2006M03;188
Extranjero;2006M02;144
Extranjero;2006M01;153
Extranjero;2005M12;117
Extranjero;2005M11;150
Extranjero;2005M10;205
Extranjero;2005M09;221
Extranjero;2005M08;223
Extranjero;2005M07;195
Extranjero;2005M06;223
Extranjero;2005M05;193
Extranjero;2005M04;159
Extranjero;2005M03;191
Extranjero;2005M02;208
Extranjero;2005M01;214
Extranjero;2004M12;150
Extranjero;2004M11;131
Extranjero;2004M10;221
Extranjero;2004M09;252
Extranjero;2004M08;203
Extranjero;2004M07;208
Extranjero;2004M06;231
Extranjero;2004M05;220
Extranjero;2004M04;191
Extranjero;2004M03;190
Extranjero;2004M02;173
Extranjero;2004M01;200
Extranjero;2003M12;175
Extranjero;2003M11;163
Extranjero;2003M10;255
Extranjero;2003M09;219
Extranjero;2003M08;210
Extranjero;2003M07;211
Extranjero;2003M06;224
Extranjero;2003M05;215
Extranjero;2003M04;178
Extranjero;2003M03;178
Extranjero;2003M02;151
Extranjero;2003M01;194
Extranjero;2002M12;185
Extranjero;2002M11;187
Extranjero;2002M10;244
Extranjero;2002M09;283
Extranjero;2002M08;226
Extranjero;2002M07;235
Extranjero;2002M06;220
Extranjero;2002M05;207
Extranjero;2002M04;209
Extranjero;2002M03;235
Extranjero;2002M02;161
Extranjero;2002M01;180
Extranjero;2001M12;170
Extranjero;2001M11;142
Extranjero;2001M10;227
Extranjero;2001M09;260
Extranjero;2001M08;242
Extranjero;2001M07;240
Extranjero;2001M06;253
Extranjero;2001M05;257
Extranjero;2001M04;179
Extranjero;2001M03;202
Extranjero;2001M02;192
Extranjero;2001M01;187
Extranjero;2000M12;153
Extranjero;2000M11;183
Extranjero;2000M10;267
Extranjero;2000M09;289
Extranjero;2000M08;218
Extranjero;2000M07;230
Extranjero;2000M06;223
Extranjero;2000M05;249
Extranjero;2000M04;196
Extranjero;2000M03;203
Extranjero;2000M02;173
Extranjero;2000M01;219
Extranjero;1999M12;184
Extranjero;1999M11;204
Extranjero;1999M10;272
Extranjero;1999M09;260
Extranjero;1999M08;228
Extranjero;1999M07;239
Extranjero;1999M06;244
Extranjero;1999M05;232
Extranjero;1999M04;217
Extranjero;1999M03;215
Extranjero;1999M02;173
Extranjero;1999M01;181
Extranjero;1998M12;155
Extranjero;1998M11;152
Extranjero;1998M10;275
Extranjero;1998M09;248
Extranjero;1998M08;225
Extranjero;1998M07;213
Extranjero;1998M06;225
Extranjero;1998M05;251
Extranjero;1998M04;191
Extranjero;1998M03;215
Extranjero;1998M02;200
Extranjero;1998M01;211
Extranjero;1997M12;168
Extranjero;1997M11;196
Extranjero;1997M10;229
Extranjero;1997M09;242
Extranjero;1997M08;245
Extranjero;1997M07;222
Extranjero;1997M06;204
Extranjero;1997M05;239
Extranjero;1997M04;164
Extranjero;1997M03;155
Extranjero;1997M02;133
Extranjero;1997M01;164
Extranjero;1996M12;159
Extranjero;1996M11;134
Extranjero;1996M10;193
Extranjero;1996M09;240
Extranjero;1996M08;229
Extranjero;1996M07;188
Extranjero;1996M06;182
Extranjero;1996M05;221
Extranjero;1996M04;181
Extranjero;1996M03;194
Extranjero;1996M02;143
Extranjero;1996M01;203
Extranjero;1995M12;198
Extranjero;1995M11;151
Extranjero;1995M10;197
Extranjero;1995M09;234
Extranjero;1995M08;216
Extranjero;1995M07;246
Extranjero;1995M06;194
Extranjero;1995M05;206
Extranjero;1995M04;144
Extranjero;1995M03;171
Extranjero;1995M02;145
Extranjero;1995M01;182
Extranjero;1994M12;131
Extranjero;1994M11;113
Extranjero;1994M10;211
Extranjero;1994M09;230
Extranjero;1994M08;209
Extranjero;1994M07;169
Extranjero;1994M06;195
Extranjero;1994M05;213
Extranjero;1994M04;131
Extranjero;1994M03;143
Extranjero;1994M02;112
Extranjero;1994M01;144
Extranjero;1993M12;86
Extranjero;1993M11;118
Extranjero;1993M10;165
Extranjero;1993M09;137
Extranjero;1993M08;125
Extranjero;1993M07;128
Extranjero;1993M06;121
Extranjero;1993M05;129
Extranjero;1993M04;114
Extranjero;1993M03;94
Extranjero;1993M02;83
Extranjero;1993M01;124
Extranjero;1992M12;69
Extranjero;1992M11;77
Extranjero;1992M10;129
Extranjero;1992M09;143
Extranjero;1992M08;157
Extranjero;1992M07;127
Extranjero;1992M06;114
Extranjero;1992M05;139
Extranjero;1992M04;85
Extranjero;1992M03;121
Extranjero;1992M02;140
Extranjero;1992M01;94
Extranjero;1991M12;83
Extranjero;1991M11;74
Extranjero;1991M10;124
Extranjero;1991M09;144
Extranjero;1991M08;122
Extranjero;1991M07;142
Extranjero;1991M06;98
Extranjero;1991M05;95
Extranjero;1991M04;96
Extranjero;1991M03;111
Extranjero;1991M02;99
Extranjero;1991M01;74
Extranjero;1990M12;130
Extranjero;1990M11;85
Extranjero;1990M10;106
Extranjero;1990M09;172
Extranjero;1990M08;138
Extranjero;1990M07;113
Extranjero;1990M06;106
Extranjero;1990M05;91
Extranjero;1990M04;99
Extranjero;1990M03;100
Extranjero;1990M02;92
Extranjero;1990M01;103
Extranjero;1989M12;103
Extranjero;1989M11;76
Extranjero;1989M10;123
Extranjero;1989M09;160
Extranjero;1989M08;140
Extranjero;1989M07;144
Extranjero;1989M06;125
Extranjero;1989M05;142
Extranjero;1989M04;133
Extranjero;1989M03;136
Extranjero;1989M02;138
Extranjero;1989M01;132
Extranjero;1988M12;115
Extranjero;1988M11;133
Extranjero;1988M10;176
Extranjero;1988M09;169
Extranjero;1988M08;198
Extranjero;1988M07;163
Extranjero;1988M06;165
Extranjero;1988M05;129
Extranjero;1988M04;134
Extranjero;1988M03;155
Extranjero;1988M02;136
Extranjero;1988M01;149
Extranjero;1987M12;160
Extranjero;1987M11;115
Extranjero;1987M10;208
Extranjero;1987M09;194
Extranjero;1987M08;215
Extranjero;1987M07;240
Extranjero;1987M06;204
Extranjero;1987M05;162
Extranjero;1987M04;144
Extranjero;1987M03;146
Extranjero;1987M02;143
Extranjero;1987M01;121
Extranjero;1986M12;117
Extranjero;1986M11;78
Extranjero;1986M10;141
Extranjero;1986M09;166
Extranjero;1986M08;201
Extranjero;1986M07;165
Extranjero;1986M06;145
Extranjero;1986M05;130
Extranjero;1986M04;120
Extranjero;1986M03;147
Extranjero;1986M02;100
Extranjero;1986M01;126
Extranjero;1985M12;38
Extranjero;1985M11;21
Extranjero;1985M10;51
Extranjero;1985M09;95
Extranjero;1985M08;100
Extranjero;1985M07;79
Extranjero;1985M06;90
Extranjero;1985M05;71
Extranjero;1985M04;45
Extranjero;1985M03;20
Extranjero;1985M02;20
Extranjero;1985M01;21
Extranjero;1984M12;65
Extranjero;1984M11;65
Extranjero;1984M10;120
Extranjero;1984M09;121
Extranjero;1984M08;134
Extranjero;1984M07;126
Extranjero;1984M06;104
Extranjero;1984M05;95
Extranjero;1984M04;82
Extranjero;1984M03;98
Extranjero;1984M02;109
Extranjero;1984M01;87
Extranjero;1983M12;79
Extranjero;1983M11;67
Extranjero;1983M10;100
Extranjero;1983M09;121
Extranjero;1983M08;126
Extranjero;1983M07;133
Extranjero;1983M06;86
Extranjero;1983M05;90
Extranjero;1983M04;70
Extranjero;1983M03;70
Extranjero;1983M02;100
Extranjero;1983M01;84
Extranjero;1982M12;93
Extranjero;1982M11;62
Extranjero;1982M10;34
Extranjero;1982M09;128
Extranjero;1982M08;129
Extranjero;1982M07;101
Extranjero;1982M06;74
Extranjero;1982M05;78
Extranjero;1982M04;82
Extranjero;1982M03;58
Extranjero;1982M02;64
Extranjero;1982M01;78
Extranjero;1981M12;62
Extranjero;1981M11;42
Extranjero;1981M10;74
Extranjero;1981M09;83
Extranjero;1981M08;121
Extranjero;1981M07;103
Extranjero;1981M06;77
Extranjero;1981M05;47
Extranjero;1981M04;35
Extranjero;1981M03;12
Extranjero;1981M02;55
Extranjero;1981M01;53
Extranjero;1980M12;43
Extranjero;1980M11;46
Extranjero;1980M10;73
Extranjero;1980M09;92
Extranjero;1980M08;133
Extranjero;1980M07;109
Extranjero;1980M06;57
Extranjero;1980M05;70
Extranjero;1980M04;71
Extranjero;1980M03;92
Extranjero;1980M02;60
Extranjero;1980M01;72
Extranjero;1979M12;61
Extranjero;1979M11;32
Extranjero;1979M10;38
Extranjero;1979M09;74
Extranjero;1979M08;66
Extranjero;1979M07;141
Extranjero;1979M06;86
Extranjero;1979M05;68
Extranjero;1979M04;68
Extranjero;1979M03;80
Extranjero;1979M02;60
Extranjero;1979M01;69
Extranjero;1978M12;75
Extranjero;1978M11;86
Extranjero;1978M10;91
Extranjero;1978M09;92
Extranjero;1978M08;128
Extranjero;1978M07;294
Extranjero;1978M06;74
Extranjero;1978M05;78
Extranjero;1978M04;67
Extranjero;1978M03;84
Extranjero;1978M02;66
Extranjero;1978M01;74
Extranjero;1977M12;67
Extranjero;1977M11;65
Extranjero;1977M10;60
Extranjero;1977M09;82
Extranjero;1977M08;121
Extranjero;1977M07;100
Extranjero;1977M06;64
Extranjero;1977M05;66
Extranjero;1977M04;74
Extranjero;1977M03;59
Extranjero;1977M02;60
Extranjero;1977M01;60
Extranjero;1976M12;64
Extranjero;1976M11;54
Extranjero;1976M10;55
Extranjero;1976M09;73
Extranjero;1976M08;113
Extranjero;1976M07;108
Extranjero;1976M06;56
Extranjero;1976M05;61
Extranjero;1976M04;67
Extranjero;1976M03;41
Extranjero;1976M02;53
Extranjero;1976M01;43
Extranjero;1975M12;39
Extranjero;1975M11;39
Extranjero;1975M10;53
Extranjero;1975M09;79
Extranjero;1975M08;158
Extranjero;1975M07;103
Extranjero;1975M06;62
Extranjero;1975M05;78
Extranjero;1975M04;47
Extranjero;1975M03;56
Extranjero;1975M02;48
Extranjero;1975M01;94
19 Melilla;2018M12;41
19 Melilla;2018M11;43
19 Melilla;2018M10;50
19 Melilla;2018M09;36
19 Melilla;2018M08;48
19 Melilla;2018M07;33
19 Melilla;2018M06;46
19 Melilla;2018M05;40
19 Melilla;2018M04;34
19 Melilla;2018M03;41
19 Melilla;2018M02;52
19 Melilla;2018M01;52
19 Melilla;2017M12;46
19 Melilla;2017M11;33
19 Melilla;2017M10;32
19 Melilla;2017M09;30
19 Melilla;2017M08;49
19 Melilla;2017M07;39
19 Melilla;2017M06;44
19 Melilla;2017M05;38
19 Melilla;2017M04;35
19 Melilla;2017M03;48
19 Melilla;2017M02;36
19 Melilla;2017M01;64
19 Melilla;2016M12;48
19 Melilla;2016M11;33
19 Melilla;2016M10;47
19 Melilla;2016M09;37
19 Melilla;2016M08;23
19 Melilla;2016M07;40
19 Melilla;2016M06;36
19 Melilla;2016M05;50
19 Melilla;2016M04;42
19 Melilla;2016M03;47
19 Melilla;2016M02;44
19 Melilla;2016M01;39
19 Melilla;2015M12;40
19 Melilla;2015M11;38
19 Melilla;2015M10;36
19 Melilla;2015M09;40
19 Melilla;2015M08;52
19 Melilla;2015M07;40
19 Melilla;2015M06;28
19 Melilla;2015M05;44
19 Melilla;2015M04;51
19 Melilla;2015M03;39
19 Melilla;2015M02;50
19 Melilla;2015M01;58
19 Melilla;2014M12;57
19 Melilla;2014M11;27
19 Melilla;2014M10;45
19 Melilla;2014M09;35
19 Melilla;2014M08;49
19 Melilla;2014M07;42
19 Melilla;2014M06;26
19 Melilla;2014M05;35
19 Melilla;2014M04;37
19 Melilla;2014M03;44
19 Melilla;2014M02;46
19 Melilla;2014M01;42
19 Melilla;2013M12;44
19 Melilla;2013M11;39
19 Melilla;2013M10;26
19 Melilla;2013M09;34
19 Melilla;2013M08;43
19 Melilla;2013M07;36
19 Melilla;2013M06;40
19 Melilla;2013M05;32
19 Melilla;2013M04;35
19 Melilla;2013M03;47
19 Melilla;2013M02;35
19 Melilla;2013M01;50
19 Melilla;2012M12;46
19 Melilla;2012M11;24
19 Melilla;2012M10;40
19 Melilla;2012M09;31
19 Melilla;2012M08;41
19 Melilla;2012M07;34
19 Melilla;2012M06;45
19 Melilla;2012M05;35
19 Melilla;2012M04;30
19 Melilla;2012M03;49
19 Melilla;2012M02;41
19 Melilla;2012M01;55
19 Melilla;2011M12;47
19 Melilla;2011M11;43
19 Melilla;2011M10;40
19 Melilla;2011M09;33
19 Melilla;2011M08;32
19 Melilla;2011M07;37
19 Melilla;2011M06;28
19 Melilla;2011M05;48
19 Melilla;2011M04;47
19 Melilla;2011M03;35
19 Melilla;2011M02;40
19 Melilla;2011M01;47
19 Melilla;2010M12;32
19 Melilla;2010M11;47
19 Melilla;2010M10;36
19 Melilla;2010M09;27
19 Melilla;2010M08;33
19 Melilla;2010M07;31
19 Melilla;2010M06;28
19 Melilla;2010M05;30
19 Melilla;2010M04;20
19 Melilla;2010M03;33
19 Melilla;2010M02;38
19 Melilla;2010M01;52
19 Melilla;2009M12;37
19 Melilla;2009M11;44
19 Melilla;2009M10;25
19 Melilla;2009M09;26
19 Melilla;2009M08;32
19 Melilla;2009M07;26
19 Melilla;2009M06;31
19 Melilla;2009M05;24
19 Melilla;2009M04;34
19 Melilla;2009M03;38
19 Melilla;2009M02;43
19 Melilla;2009M01;41
19 Melilla;2008M12;45
19 Melilla;2008M11;40
19 Melilla;2008M10;20
19 Melilla;2008M09;36
19 Melilla;2008M08;36
19 Melilla;2008M07;33
19 Melilla;2008M06;24
19 Melilla;2008M05;19
19 Melilla;2008M04;46
19 Melilla;2008M03;50
19 Melilla;2008M02;47
19 Melilla;2008M01;59
19 Melilla;2007M12;38
19 Melilla;2007M11;38
19 Melilla;2007M10;30
19 Melilla;2007M09;37
19 Melilla;2007M08;37
19 Melilla;2007M07;34
19 Melilla;2007M06;34
19 Melilla;2007M05;23
19 Melilla;2007M04;27
19 Melilla;2007M03;39
19 Melilla;2007M02;37
19 Melilla;2007M01;59
19 Melilla;2006M12;46
19 Melilla;2006M11;33
19 Melilla;2006M10;38
19 Melilla;2006M09;34
19 Melilla;2006M08;39
19 Melilla;2006M07;40
19 Melilla;2006M06;34
19 Melilla;2006M05;36
19 Melilla;2006M04;34
19 Melilla;2006M03;39
19 Melilla;2006M02;34
19 Melilla;2006M01;47
19 Melilla;2005M12;39
19 Melilla;2005M11;39
19 Melilla;2005M10;36
19 Melilla;2005M09;27
19 Melilla;2005M08;31
19 Melilla;2005M07;32
